InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-03-01 08:26:00,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2026-03-01 08:26:00,3.39,17850,United Kingdom
536366,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-03-01 08:28:00,2.75,17850,United Kingdom
536367,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2026-03-01 08:34:00,3.39,13047,United Kingdom
536367,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2026-03-01 08:34:00,3.39,13047,United Kingdom
536368,22752,SET 7 BABUSHKA NESTING BOXES,2,2026-03-01 08:35:00,7.65,12583,France
536369,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2026-03-01 08:45:00,4.25,13748,United Kingdom
536370,22633,HAND WARMER UNION JACK,6,2026-03-01 08:45:00,1.85,13748,United Kingdom
536371,22632,HAND WARMER RED POLKA DOT,6,2026-03-01 08:45:00,1.85,13748,United Kingdom
536372,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2026-03-01 08:47:00,1.69,13408,United Kingdom
536373,22745,POPPY'S PLAYHOUSE BEDROOM,6,2026-03-01 08:49:00,2.10,15311,United Kingdom
536374,22748,POPPY'S PLAYHOUSE KITCHEN,6,2026-03-01 08:49:00,2.10,15311,United Kingdom
536375,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2026-03-01 08:50:00,3.75,15311,United Kingdom
536376,22310,IVORY KNITTED MUG COSY,6,2026-03-01 08:52:00,1.65,17850,United Kingdom
536377,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2026-03-01 08:54:00,4.25,17850,United Kingdom
536378,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2026-03-01 08:55:00,4.95,17850,United Kingdom
536379,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2026-03-01 08:55:00,4.95,17850,United Kingdom
536380,21754,HOME BUILDING BLOCK WORD,3,2026-03-01 08:55:00,5.95,17850,United Kingdom
536381,21755,LOVE BUILDING BLOCK WORD,3,2026-03-01 08:55:00,5.95,17850,United Kingdom
536382,21777,RECIPE BOX WITH METAL HEART,4,2026-03-01 08:56:00,7.95,17850,United Kingdom
536383,48187,DOORMAT NEW ENGLAND,4,2026-03-01 08:57:00,7.95,17850,United Kingdom
536384,22960,JAM MAKING SET WITH JARS,6,2026-03-01 08:58:00,4.25,17850,United Kingdom
536385,22913,RED COAT RACK PARIS FASHION,3,2026-03-01 08:58:00,4.95,17850,United Kingdom
536386,22914,YELLOW COAT RACK PARIS FASHION,3,2026-03-01 08:58:00,4.95,17850,United Kingdom
536387,22912,BLUE COAT RACK PARIS FASHION,3,2026-03-01 08:58:00,4.95,17850,United Kingdom
536388,22139,RETROSPOT TEA SET CERAMIC 11 PC,4,2026-03-01 08:59:00,21.50,17850,United Kingdom
536389,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2026-03-01 08:59:00,16.50,17850,United Kingdom
536390,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2026-03-01 08:59:00,12.50,17850,United Kingdom
536391,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2026-03-01 08:59:00,14.50,17850,United Kingdom
536392,21791,VINTAGE HEADS AND TAILS CARD GAME,24,2026-03-01 09:00:00,1.25,17850,United Kingdom
536393,21792,VINTAGE SNAP CARD GAME,24,2026-03-01 09:00:00,1.25,17850,United Kingdom
536394,21790,VINTAGE PAISLEY STATIONERY SET,24,2026-03-01 09:00:00,1.25,17850,United Kingdom
536395,22041,RECORD FRAME 7" SINGLE SIZE,48,2026-03-01 09:01:00,2.10,17850,United Kingdom
536396,21258,VICTORIAN SEWING BOX LARGE,1,2026-03-01 09:02:00,10.95,17850,United Kingdom
536397,21259,VICTORIAN SEWING BOX SMALL,1,2026-03-01 09:02:00,5.95,17850,United Kingdom
536398,22197,SMALL POPCORN HOLDER,10,2026-03-01 09:03:00,0.85,17850,United Kingdom
536399,22198,LARGE POPCORN HOLDER,10,2026-03-01 09:03:00,1.25,17850,United Kingdom
536400,22199,POPCORN HOLDER,10,2026-03-01 09:03:00,0.85,17850,United Kingdom
536401,22196,SMALL HEART FLOWERS HOOK,12,2026-03-01 09:04:00,0.85,17850,United Kingdom
